Loyalty Number,activity_ratio,booking_trend,recency_at_end_of_2017,total_flights_2017,distance_2017,redeem_ratio,points_per_flight,Country,Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,churn
932823,0.75,1.0,0.0,25.0,45739.0,0.010909488412767818,1759.1923076923076,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,66444.0,Married,Star,3863.31,Standard,2015,3,0
144514,0.4166666666666667,1.5,0.0,12.0,16970.0,0.0,1305.3846153846155,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,49618.0,Married,Star,3864.78,Standard,2016,6,0
611765,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,90175.0,Single,Star,3867.97,Standard,2018,1,0
988178,1.0,-0.3333333333333333,0.0,38.0,55010.0,0.012342985948264893,1410.5128205128206,Canada,Quebec,Montreal,H4G 3T4,Male,College,73455.0,Single,Star,3871.07,Standard,2013,10,0
286114,0.5,2.0,0.0,14.0,19232.0,0.060572973535069935,1282.1333333333334,Canada,Ontario,Toronto,M2M 7K8,Female,College,73455.0,Single,Star,3872.22,Standard,2016,11,0
205785,0.75,0.4166666666666667,0.0,27.0,40831.0,0.030196904388714734,1458.25,Canada,Ontario,Toronto,M2M 6J7,Male,Master,128118.0,Married,Star,3873.65,Standard,2016,8,0
735304,0.5,0.75,0.0,9.0,16132.0,0.03768672906465009,1613.2,Canada,Alberta,Edmonton,T3G 6Y6,Female,Master,128118.0,Married,Star,3873.65,Standard,2016,12,0
438936,0.75,0.06666666666666667,0.0,29.0,37432.0,0.0,1247.7333333333333,Canada,Quebec,Montreal,H2Y 2W2,Male,Bachelor,94092.0,Married,Star,3878.77,Standard,2013,10,0
172755,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Canada,Alberta,Edmonton,T3G 6Y6,Female,College,73455.0,Single,Aurora,5303.76,2018 Promotion,2018,3,0
354730,0.6666666666666666,-0.16666666666666666,1.0,20.0,36872.0,0.0,1755.8095238095239,Canada,New Brunswick,Fredericton,E3B 2H2,Female,College,73455.0,Married,Star,3885.46,Standard,2014,10,1
413741,0.6666666666666666,0.6666666666666666,1.0,22.0,42474.0,0.03319599764567393,1846.695652173913,Canada,Ontario,Toronto,M1R 4K3,Female,College,73455.0,Married,Star,3885.46,Standard,2015,7,0
552965,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Canada,Quebec,Montreal,H4G 3T4,Male,College,73455.0,Married,Star,3885.46,Standard,2018,11,0
642313,0.6666666666666666,0.1,0.0,19.0,23282.0,0.0646823862904265,1164.1,Canada,Alberta,Edmonton,T9G 1W3,Male,College,73455.0,Married,Star,3885.46,Standard,2016,3,0
263080,0.3333333333333333,-0.2222222222222222,2.0,14.0,16998.0,0.0,1133.2,Canada,Alberta,Edmonton,T9G 1W3,Male,College,73455.0,Single,Star,3886.5,Standard,2014,5,0
109767,0.9166666666666666,0.1,0.0,19.0,31203.0,0.036886296628637356,1560.15,Canada,Ontario,Toronto,M1R 4K3,Female,Bachelor,89062.0,Single,Star,3886.65,Standard,2016,5,0
217754,0.5833333333333334,-0.16666666666666666,4.0,20.0,33727.0,0.0,1606.047619047619,Canada,Quebec,Montreal,H2Y 4R4,Female,Bachelor,102400.0,Single,Star,3887.32,Standard,2015,6,0
157005,0.9166666666666666,-0.125,1.0,28.0,36212.0,0.0,1248.6896551724137,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,98629.0,Married,Star,3890.87,Standard,2016,10,0
557752,0.08333333333333333,5.0,0.0,5.0,11255.0,0.0,1875.8333333333333,Canada,Ontario,Toronto,P1L 8X8,Female,Bachelor,98629.0,Married,Star,3890.87,Standard,2017,10,0
608758,0.5833333333333334,0.14285714285714285,0.0,13.0,24928.0,0.0,1780.5714285714287,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,63795.0,Married,Star,3890.96,Standard,2013,7,0
599341,1.0,1.0,0.0,37.0,68642.0,0.01432046967644188,1806.3684210526317,Canada,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,54890.0,Married,Star,3891.54,Standard,2015,11,0
333502,0.3333333333333333,2.0,1.0,14.0,19704.0,0.0,1313.6,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,73455.0,Married,Star,3891.58,Standard,2014,3,0
201574,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,51375.0,Married,Star,3893.31,Standard,2015,4,0
403361,0.08333333333333333,3.0,1.0,3.0,6183.0,0.0,1545.75,Canada,British Columbia,Vancouver,V1E 4R6,Male,Bachelor,70222.0,Single,Star,3895.03,Standard,2017,10,0
543918,0.8333333333333334,0.6666666666666666,0.0,30.0,41922.0,0.047396417241132555,1352.3225806451612,Canada,Quebec,Montreal,H2T 2J6,Male,High School or Below,40736.0,Married,Star,3896.57,Standard,2012,11,0
806030,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Canada,Alberta,Calgary,T3E 2V9,Female,Bachelor,75861.0,Married,Star,3903.47,Standard,2018,5,0
119200,0.3333333333333333,0.0,0.0,10.0,14956.0,0.0,1359.6363636363637,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,69835.0,Divorced,Star,3903.8,Standard,2017,5,0
938981,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Canada,Alberta,Edmonton,T3G 6Y6,Female,College,73455.0,Single,Aurora,5337.35,2018 Promotion,2018,4,0
238119,0.6666666666666666,0.07692307692307693,0.0,25.0,38650.0,0.0,1486.5384615384614,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,75980.0,Married,Star,3906.67,Standard,2013,5,0
730388,0.6666666666666666,0.2727272727272727,0.0,23.0,34172.0,0.0,1423.8333333333333,Canada,Ontario,Thunder Bay,K8T 5M5,Male,College,73455.0,Single,Star,3907.03,Standard,2012,5,0
834891,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,54460.0,Married,Star,3911.12,Standard,2017,3,0
127400,0.4166666666666667,1.75,0.0,13.0,15098.0,0.03496920325849394,1078.4285714285713,Canada,British Columbia,Whistler,V6T 1Y8,Female,College,73455.0,Single,Star,3914.72,Standard,2014,6,0
324557,0.6666666666666666,1.6,1.0,16.0,25904.0,0.024898668210770122,1523.764705882353,Canada,Quebec,Montreal,H2Y 2W2,Female,College,73455.0,Single,Star,3914.72,Standard,2013,2,0
742002,0.3333333333333333,-0.5,2.0,13.0,23503.0,0.0,1678.7857142857142,Canada,Ontario,Toronto,P2T 6G3,Female,College,73455.0,Single,Star,3915.8,Standard,2016,5,0
536567,0.5833333333333334,3.0,0.0,23.0,28799.0,0.0,1199.9583333333333,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,5,0
704835,0.5833333333333334,0.8571428571428571,0.0,18.0,26459.0,0.03639455782312925,1392.578947368421,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,9,0
733338,0.08333333333333333,-0.75,11.0,3.0,4497.0,0.0,1124.25,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,6,0
758635,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2018,6,0
823048,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2018,5,0
612905,0.5833333333333334,0.7142857142857143,1.0,17.0,26824.0,0.021211556383970178,1490.2222222222222,Canada,Ontario,Toronto,P2T 6G3,Female,College,73455.0,Married,Star,3920.51,Standard,2015,2,0
679908,0.75,-0.5555555555555556,1.0,24.0,39398.0,0.013579024848346406,1575.92,Canada,Quebec,Montreal,H4G 3T4,Female,Bachelor,77601.0,Married,Star,3921.02,Standard,2015,8,0
704150,0.6666666666666666,-0.5,0.0,19.0,23665.0,0.017282176962731346,1183.25,Canada,Manitoba,Winnipeg,R6Y 4T5,Male,Bachelor,77601.0,Married,Star,3921.02,Standard,2014,10,0
869743,0.4166666666666667,-0.6923076923076923,5.0,15.0,16548.0,0.0,1034.25,Canada,Ontario,Sudbury,M5V 1G5,Female,Bachelor,73236.0,Single,Star,3924.42,Standard,2016,11,0
596179,0.75,-0.5454545454545454,2.0,30.0,51941.0,0.0,1675.516129032258,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,50879.0,Single,Star,3933.81,Standard,2014,3,0
370450,0.5,0.25,0.0,16.0,20586.0,0.0671297420702385,1210.9411764705883,Canada,Ontario,Thunder Bay,K8T 5M5,Female,High School or Below,62160.0,Married,Star,3934.1,Standard,2012,11,0
501030,0.5833333333333334,1.8,0.0,17.0,19608.0,0.0,1089.3333333333333,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,93541.0,Married,Star,3934.71,Standard,2017,3,0
878633,0.5833333333333334,-0.3888888888888889,0.0,27.0,34014.0,0.0,1214.7857142857142,Canada,Ontario,Trenton,K8V 4B2,Female,Doctor,163974.0,Married,Star,3936.79,Standard,2013,12,0
285938,0.6666666666666666,0.0,0.0,22.0,34494.0,0.0,1499.7391304347825,Canada,Quebec,Montreal,H2T 2J6,Female,Bachelor,75827.0,Married,Star,3939.01,Standard,2014,9,0
588237,0.6666666666666666,-0.3333333333333333,1.0,23.0,22941.0,0.040929299973847096,955.875,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,75827.0,Married,Star,3939.01,Standard,2013,11,0
645280,0.75,0.0,1.0,26.0,28662.0,0.028364093081673238,1061.5555555555557,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,75827.0,Married,Star,3939.01,Standard,2012,12,0
864324,0.5833333333333334,1.3333333333333333,0.0,18.0,24458.0,0.024040230589966884,1287.2631578947369,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,75827.0,Married,Star,3939.01,Standard,2018,6,0
124678,0.75,-0.13333333333333333,1.0,26.0,42652.0,0.007127282957822428,1579.7037037037037,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2013,6,0
186015,0.4166666666666667,-0.36363636363636365,0.0,16.0,26002.0,0.0,1529.5294117647059,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2015,9,0
461108,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Canada,Quebec,Montreal,H2T 9K8,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2018,10,0
589580,0.6666666666666666,-0.29411764705882354,0.0,27.0,49010.0,0.01464977250005101,1750.357142857143,Canada,British Columbia,Whistler,V6T 1Y8,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2015,8,0
623688,0.75,-0.125,0.0,28.0,48235.0,0.014304668712165187,1663.2758620689656,Canada,Ontario,London,M5B 3E4,Female,Doctor,152955.0,Married,Star,3954.34,Standard,2016,5,0
386082,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,30486.0,Divorced,Aurora,5391.97,2018 Promotion,2018,3,1
256147,0.75,0.0,0.0,26.0,42247.0,0.008024048475667487,1564.7037037037037,Canada,Ontario,Toronto,M1R 4K3,Female,College,73455.0,Married,Star,3958.0,Standard,2012,9,0
329382,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Canada,Quebec,Montreal,H2T 9K8,Male,College,73455.0,Single,Star,3961.59,Standard,2012,8,0
140392,0.5833333333333334,1.4,2.0,15.0,15254.0,0.03716814159292035,953.375,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,96814.0,Married,Star,3963.39,Standard,2013,7,0
112522,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,49846.0,Married,Aurora,5636.74,2018 Promotion,2018,2,0
230908,0.75,-0.17647058823529413,0.0,29.0,43406.0,0.018937037804962333,1446.8666666666666,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Doctor,217538.0,Divorced,Star,3964.15,Standard,2012,5,0
972581,0.6666666666666666,-0.2,1.0,16.0,20391.0,0.03133581796783052,1199.4705882352941,Canada,British Columbia,Vancouver,V5R 1W3,Male,High School or Below,48744.0,Married,Star,3964.53,Standard,2016,2,0
357549,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,76410.0,Single,Star,3964.73,Standard,2018,9,0
330694,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Canada,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,105053.0,Married,Aurora,6172.91,2018 Promotion,2018,2,0
910875,0.3333333333333333,-0.75,5.0,8.0,18109.0,0.0,2012.111111111111,Canada,Quebec,Hull,J8Y 3Z5,Female,Bachelor,84914.0,Married,Star,3966.13,Standard,2012,11,0
501704,0.4166666666666667,0.5,0.0,18.0,16769.0,0.12128801431127012,882.578947368421,Canada,Quebec,Hull,J8Y 3Z5,Male,College,73455.0,Divorced,Star,3974.86,Standard,2013,5,0
529098,0.08333333333333333,5.0,0.0,5.0,6230.0,0.07494784143797144,1038.3333333333333,Canada,British Columbia,Vancouver,V6E 3Z3,Female,College,73455.0,Divorced,Star,3974.86,Standard,2017,10,0
265297,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,60519.0,Married,Star,3978.67,Standard,2018,7,0
567875,0.25,1.0,0.0,4.0,9037.0,0.0,1807.4,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,102457.0,Married,Star,3979.72,Standard,2017,5,0
688524,0.4166666666666667,0.16666666666666666,0.0,11.0,15613.0,0.12764185986934803,1301.0833333333333,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,103862.0,Married,Star,3980.42,Standard,2013,3,0
269070,0.9166666666666666,0.0,0.0,28.0,35858.0,0.0187679522574528,1236.4827586206898,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Master,93153.0,Married,Star,3985.32,Standard,2013,1,0
387705,0.5,1.6666666666666667,1.0,20.0,30308.0,0.015572932132369923,1443.2380952380952,Canada,Quebec,Hull,J8Y 3Z5,Female,Master,93153.0,Married,Star,3985.32,Standard,2013,4,0
923293,0.8333333333333334,0.42857142857142855,0.0,32.0,36863.0,0.011176215277777778,1117.060606060606,Canada,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,86793.0,Divorced,Star,3985.55,Standard,2016,6,0
283314,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,72127.0,Married,Star,3991.73,Standard,2013,4,0
322102,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,73455.0,Married,Star,3992.58,Standard,2013,8,0
789157,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Canada,British Columbia,Vancouver,V6E 3Z3,Female,College,73455.0,Single,Star,3995.36,Standard,2018,9,0
654748,0.4166666666666667,5.0,0.0,12.0,16433.0,0.0,1264.076923076923,Canada,Ontario,Ottawa,K1F 2R2,Female,Bachelor,65721.0,Married,Star,3996.77,Standard,2017,4,0
984713,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Canada,Ontario,Sudbury,M5V 1G5,Female,College,73455.0,Single,Star,3997.48,Standard,2018,8,0
114835,0.3333333333333333,8.0,0.0,8.0,11280.0,0.0,1253.3333333333333,Canada,Ontario,Toronto,M1R 4K3,Female,Master,101354.0,Divorced,Star,4001.52,Standard,2017,7,0
328936,0.75,1.625,0.0,27.0,30411.0,0.029790872024200974,1086.107142857143,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,53118.0,Married,Star,4005.72,Standard,2015,3,0
845864,0.6666666666666666,-0.6,2.0,26.0,32118.0,0.042840686198200445,1189.5555555555557,Canada,British Columbia,Vancouver,V5R 1W3,Female,Doctor,115440.0,Married,Star,4013.85,Standard,2013,4,0
645265,0.6666666666666666,-0.4166666666666667,0.0,17.0,27182.0,0.0,1510.111111111111,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,73313.0,Married,Star,4013.95,Standard,2013,3,0
223587,0.3333333333333333,10.0,0.0,10.0,18618.0,0.02975455180192277,1692.5454545454545,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,100167.0,Married,Star,4013.96,Standard,2017,8,0
158560,0.5,0.125,0.0,15.0,22952.0,0.054459112098636346,1434.5,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,59262.0,Married,Star,4014.45,Standard,2015,12,0
417584,0.5,-0.09090909090909091,2.0,19.0,31357.0,0.019357101855985714,1567.85,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,59262.0,Married,Star,4014.45,Standard,2014,5,0
566033,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Canada,Ontario,Toronto,M2P 4F6,Male,College,73455.0,Married,Star,4015.21,Standard,2015,6,0
472521,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Canada,Alberta,Edmonton,T9G 1W3,Male,College,73455.0,Married,Aurora,6265.34,2018 Promotion,2018,3,0
425854,0.5833333333333334,0.18181818181818182,0.0,22.0,34662.0,0.01817499927876987,1507.0434782608695,Canada,Ontario,Toronto,P1J 8T7,Female,High School or Below,39079.0,Married,Star,4016.13,Standard,2016,11,0
174896,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Canada,Alberta,Edmonton,T3G 6Y6,Female,College,73455.0,Single,Star,4016.54,Standard,2015,4,0
695855,0.75,-0.3,1.0,15.0,24299.0,0.01794238683127572,1518.6875,Canada,Quebec,Montreal,H2T 2J6,Female,College,73455.0,Divorced,Star,4019.38,Standard,2013,4,0
699511,0.5833333333333334,0.2,1.0,20.0,30672.0,0.0,1460.5714285714287,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,College,73455.0,Divorced,Star,4019.38,Standard,2014,7,0
377322,0.6666666666666666,-0.1875,0.0,27.0,55363.0,0.019127953182573515,1977.25,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,62518.0,Married,Star,4023.81,Standard,2016,5,0
511053,0.5,-0.3,0.0,15.0,25061.0,0.03200063841672652,1566.3125,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,62518.0,Married,Star,4023.81,Standard,2015,3,0
890753,0.08333333333333333,5.0,0.0,5.0,10400.0,0.06951254687049323,1733.3333333333333,Canada,Quebec,Montreal,H2Y 2W2,Male,College,73455.0,Married,Star,4025.1,Standard,2017,9,0
796670,0.75,0.13333333333333333,0.0,30.0,47222.0,0.008893971158122101,1523.2903225806451,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,47536.0,Married,Star,4035.68,Standard,2014,2,0
556136,0.6666666666666666,0.5,0.0,18.0,17599.0,0.029602272727272727,926.2631578947369,Canada,Quebec,Montreal,H4G 3T4,Female,College,73455.0,Married,Star,4035.77,Standard,2017,1,0
513081,0.5833333333333334,0.3333333333333333,0.0,12.0,22756.0,0.04372281056378257,1750.4615384615386,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,98320.0,Married,Star,4037.5,Standard,2015,11,0
930718,0.75,0.3333333333333333,0.0,26.0,29787.0,0.0365247750772123,1103.2222222222222,Canada,Quebec,Montreal,H2T 2J6,Female,High School or Below,63577.0,Married,Star,4037.55,Standard,2015,7,0
235872,0.5833333333333334,-0.13333333333333333,0.0,26.0,41976.0,0.029087357362365104,1554.6666666666667,Canada,Ontario,Toronto,P1J 8T7,Female,Doctor,89057.0,Single,Star,4046.94,Standard,2013,3,0
881142,0.4166666666666667,-0.9,7.0,9.0,9859.0,0.08823529411764706,985.9,Canada,British Columbia,Vancouver,V1E 4R6,Female,Doctor,89057.0,Single,Star,4046.94,Standard,2016,9,0
295147,0.4166666666666667,0.8333333333333334,2.0,15.0,23429.0,0.04131455399061033,1464.3125,Canada,British Columbia,Kelowna,V09 2E9,Male,Bachelor,99814.0,Married,Star,4048.16,Standard,2017,5,0
306110,0.4166666666666667,-0.2857142857142857,0.0,10.0,14465.0,0.05509470482510715,1315.0,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,64587.0,Married,Star,4053.37,Standard,2013,5,0
295217,0.4166666666666667,-0.2857142857142857,0.0,10.0,19259.0,0.053686396677050885,1750.8181818181818,Canada,Ontario,Toronto,M1R 4K3,Female,Doctor,67411.0,Divorced,Star,4059.57,Standard,2016,6,0
967300,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Canada,Alberta,Edmonton,T9G 1W3,Male,Bachelor,62630.0,Single,Aurora,6364.9,2018 Promotion,2018,3,1
591731,0.8333333333333334,-0.375,2.0,24.0,39625.0,0.016277191742795134,1585.0,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,51370.0,Married,Star,4064.18,Standard,2013,9,0
326905,0.5,-0.09090909090909091,2.0,19.0,24066.0,0.0,1203.3,Canada,British Columbia,Vancouver,V5R 1W3,Female,College,73455.0,Married,Star,4068.09,Standard,2017,2,0
375511,0.75,2.6666666666666665,0.0,26.0,36951.0,0.029335353972721367,1368.5555555555557,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,59300.0,Single,Star,4070.05,Standard,2014,7,0
485283,0.16666666666666666,2.0,1.0,2.0,3106.0,0.0,1035.3333333333333,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,102479.0,Single,Star,4072.85,Standard,2017,9,0
920716,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Canada,Alberta,Peace River,T9O 2W2,Female,College,73455.0,Single,Aurora,7098.91,2018 Promotion,2018,4,0
797685,0.3333333333333333,10.0,0.0,10.0,11302.0,0.07272405556047067,1027.4545454545455,Canada,Alberta,Edmonton,T3G 6Y6,Male,College,73455.0,Married,Star,4079.13,Standard,2017,6,0
216467,0.5833333333333334,0.0,0.0,14.0,23278.0,0.0,1551.8666666666666,Canada,New Brunswick,Fredericton,E3B 2H2,Male,Doctor,90995.0,Married,Star,4083.56,Standard,2014,7,0
958839,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Canada,Quebec,Montreal,H4G 3T4,Male,Doctor,90995.0,Married,Star,4083.56,Standard,2018,8,0
539673,0.6666666666666666,-0.2857142857142857,0.0,22.0,30575.0,0.016287284144427,1329.3478260869565,Canada,Ontario,Toronto,P5S 6R4,Female,Bachelor,49558.0,Married,Star,4087.51,Standard,2015,2,1
746226,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,63501.0,Married,Star,4089.04,Standard,2018,1,0
484718,0.5833333333333334,0.1111111111111111,2.0,17.0,33867.0,0.01635762371560175,1881.5,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,76367.0,Single,Star,4089.46,Standard,2012,6,0
528492,0.6666666666666666,0.08333333333333333,0.0,23.0,48972.0,0.016764339534028956,2040.5,Canada,Quebec,Hull,J8Y 3Z5,Male,Bachelor,60360.0,Married,Star,4090.75,Standard,2015,6,1
995091,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Canada,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,55454.0,Married,Star,4095.2,Standard,2017,9,0
632793,0.6666666666666666,1.8,0.0,17.0,15913.0,0.03179590297850949,884.0555555555555,Canada,Quebec,Hull,J8Y 3Z5,Female,High School or Below,60370.0,Single,Star,4097.37,Standard,2016,6,0
912220,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Canada,British Columbia,Vancouver,V6E 3Z3,Male,High School or Below,60370.0,Single,Star,4097.37,Standard,2013,8,0
382197,0.08333333333333333,1.0,1.0,1.0,768.0,0.0,384.0,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,69367.0,Married,Star,4100.47,Standard,2017,10,1
705196,0.75,0.14285714285714285,2.0,28.0,49630.0,0.0,1711.3793103448277,Canada,British Columbia,Whistler,V6T 1Y8,Female,College,73455.0,Single,Star,4101.94,Standard,2013,11,0
123094,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,92223.0,Married,Star,4103.85,Standard,2018,1,0
366540,0.0,0.0,12.0,0.0,0.0,0.0,0.0,Canada,Alberta,Calgary,T3E 2V9,Female,Bachelor,90077.0,Married,Aurora,7288.88,2018 Promotion,2018,3,0
119488,0.3333333333333333,13.0,0.0,13.0,13658.0,0.0,975.5714285714286,Canada,Quebec,Tremblant,H5Y 2S9,Female,College,73455.0,Single,Star,4108.26,Standard,2017,6,0
287750,0.6666666666666666,-0.25,0.0,19.0,27901.0,0.04347358612285858,1395.05,Canada,Ontario,Ottawa,K1F 2R2,Female,College,73455.0,Single,Star,4109.31,Standard,2012,8,0
735846,0.3333333333333333,0.6666666666666666,0.0,6.0,6373.0,0.18779416379039848,910.4285714285714,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,95318.0,Married,Star,4109.79,Standard,2012,8,0
